"Gene","Direction","Count","Files"
"C19orf54","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"C19orf66","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"C1orf52","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"C1QBP","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"C4orf52","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"C7orf55","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CAB39","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CACYBP","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CALU","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CAPN2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CAPNS1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CAPZA2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CCDC50","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CCDC58","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CCDC91","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CCNB2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CCRN4L","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CCT6P1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CD99","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CD99P1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDC123","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDC27","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDIPT","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDK17","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDK2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDK5RAP2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDKN1A","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDKN1B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CDKN2AIP","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CELF1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CENPL","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CERK","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CGGBP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CH25H","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CHAMP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CHD2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CHD7","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CHKA","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CIB1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CKAP2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CKB","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
