"","ex1_GFP_Rep2_Chip20","ex1_GFP_IFNB1_Rep1_Chip20","ex1_GFP_IFNB1_Rep2_Chip20","ex1_NS5_Rep1_Chip20","ex1_NS5_Rep2_Chip20","ex1_NS5_INFNB1_Rep1_Chip20","ex1_NS5_INFNB1_Rep2_Chip20","ex1_GFP_Rep1_Chip21","ex1_GFP_Rep2_Chip21","ex1_GFP_IFNB1_Rep1_Chip21","ex1_NS5_Rep1_Chip21","ex1_NS5_Rep2_Chip21","ex1_NS5_INFNB1_Rep1_Chip21","ex1_NS5_INFNB1_Rep2_Chip21"
"ABCA11P",5.94002898486125,5.64017381644577,5.69319860493488,5.5140518236092,5.42156140030249,5.40906698548173,5.42932358455722,5.31646017644879,5.2403847523625,5.42703601534689,5.49281093410123,5.23941489601781,5.10849517193089,4.76689724246451
"ABCA12",3.42738170267912,2.92229710689441,2.74894399635944,2.98191667129266,2.22232036252238,2.25939553508317,2.3680489257277,2.25133563872504,2.23284029788937,2.53133012882572,2.33520241372137,2.33277264909417,2.78642377189499,3.04678221206212
"ABCA13",2.76480008941643,2.5037316560509,2.7774219536434,2.20701880878389,2.12845177644973,2.07296126146704,1.79045683256912,2.74894399635944,1.81626511696717,2.81691518511614,2.56527645122383,1.08601957010517,1.69451969955565,1.6515546698727
"ABCA2",3.46022039645302,3.17074307095781,3.47752568851966,3.71701735578549,4.28434413989219,3.90710024053338,3.77910983003055,3.49840411559507,3.77910983003055,3.17684430907649,3.40706409002659,3.70328107496756,3.82027572156302,3.91768823532563
"ABCA3",4.62984194977383,4.50125451023732,4.52043047813133,4.90427159130962,4.94896180144774,4.99555495567302,4.71374415465652,4.34799749226551,4.26851642273746,4.34549915888094,4.30253729135341,4.96442705280455,4.78772721483895,4.92464631414463
"ABCA5",3.28470966953215,2.92229710689441,3.17684430907649,3.39617127127172,3.33488949352221,3.23140012872438,2.91718201733988,3.26344893703686,2.43051800981801,3.05749223877909,2.56527645122383,2.86018632819639,2.93432157152867,3.1340100240671
"ABCB10",4.86829059744982,4.30660264992023,4.85585670683655,4.40995915097224,4.68753323174817,4.53319488220947,4.28434413989219,4.82089828247603,4.48202998625041,4.46014479854911,4.49742732083752,4.54633939001631,4.15480059403304,4.13862649220661
"ABCB6",3.16425125972936,3.3885835553973,3.0843212684382,3.1340100240671,2.59644462770465,2.74802367260305,2.94213941148266,2.81691518511614,3.24228388707645,3.50324421333332,2.78727290898421,3.77323382197082,2.93432157152867,2.99143355187721
"ABCB7",5.84290889400287,5.8056749562827,5.80436566057215,5.5140518236092,5.76773972047312,4.676107785304,5.42932358455722,5.49248328853056,5.56088183819696,5.56449190839496,5.69680523027651,5.29667253027693,5.46611203826571,5.45088874534946
"ABCB8",2.99953782079942,3.02033359917188,3.17684430907649,2.94699605687109,3.11795556297801,3.3707885869099,2.80759167393994,2.94061357208154,4.03048077771726,3.54882361749409,2.84056279508573,3.48691435844045,3.11643902925518,3.1340100240671
"ABCC1",5.97345241526478,6.20272380118666,6.35894632748382,5.82788377701345,6.00536018566647,5.85990851877183,6.03378242090821,6.4692040030198,6.66810617487526,6.51146119208512,6.4966159967768,6.52417792444835,6.39547521195641,6.34558608362329
"ABCC10",2.62626276419999,2.38743703308424,2.50910823639202,2.61936075254107,2.72904626800673,2.53133012882572,3.23270714802905,2.53133012882572,2.8178455889955,2.99640449359992,2.64295419977633,2.50705711513058,2.99640449359992,3.18423309385891
"ABCC2",7.89285305493582,7.93030115595185,7.94151225388995,7.84797428776276,7.87468880104277,8.08472039948245,7.88151891919536,7.89285305493582,8.10684594823216,7.63957602869535,7.82458939048343,8.10594404182194,7.7844632027531,8.15468055271896
"ABCC3",5.73704533390311,6.05947565092211,6.25298628740756,5.65793132607855,5.68373616002402,5.84043979900396,5.93083339245336,6.26964463258347,6.59537838456516,6.41251740729309,6.38796486580185,5.99873983966954,5.98081751497622,5.96068819793244
"ABCC4",3.82027572156302,4.23601309256268,4.06734674483581,3.97918083778347,4.11343798999859,4.06734674483581,4.48038533741134,4.03581749865114,4.65235746022989,4.17084769393394,4.19145871520671,4.50296821053564,4.2451232670934,4.34890234015005
"ABCC5",2.85324548102336,2.46200600335277,2.88763650202346,2.70847966557045,3.27536307257635,2.83279027503619,3.02033359917188,2.99640449359992,2.63502875119914,2.87742960172233,1.80232639314518,2.99217149587631,3.11643902925518,3.43703525696155
"ABCD1",2.30350836595456,2.28118138040641,2.20701880878389,2.70847966557045,2.59644462770465,2.65785513196433,2.33635959680891,1.67871977406521,2.63502875119914,2.44013728380835,2.33520241372137,2.23284029788937,2.70847966557045,2.46656540221786
"ABCD3",5.19983761929585,5.00140534704941,5.17782075145766,5.28866274883211,5.31131934569127,5.22650514912262,4.89898411537816,4.80384718404756,5.37439779721075,5.00856358439805,5.22536288044163,5.51083927289083,5.15416538462533,5.48328016017308
"ABCD4",3.71316117118044,3.67835190951977,3.76951473193909,3.69945505967621,4.08945431835957,3.65759590093341,3.79188009218852,3.86004807481165,3.99461859240264,3.91929749626818,3.57426558194065,4.0698470357199,4.03581749865114,3.47415960263007
"ABCE1",6.91951267736776,6.74799985153016,6.63366765286292,7.01627351286571,7.00430873099049,7.06066500007998,6.95898897675405,6.54083012417052,6.72816228429193,6.33092993901726,6.91316263966153,6.94439511424915,6.76013806443487,7.10062948972905
"ABCF1",6.06304731640754,6.03807766437038,6.27920474877772,5.94791716209255,5.98808140501467,6.04445705642172,6.23683123302591,6.33830561831956,6.310214683516,6.35745273151247,5.97364600812667,6.25029409460864,6.23838292771539,6.19923160431479
"ABCF2",6.83816391754199,6.53974968236686,6.75128465032701,6.81239885641896,6.67931074991667,6.86979141975474,6.75029744236081,6.63592451675404,6.89598668679412,6.43179714264226,6.56578434246183,6.88343868470578,6.67987164648959,6.77263246744546
"ABCF3",3.23403485842268,3.14021383421192,3.5843561281674,3.7706039741899,3.27536307257635,3.60374157738975,3.23270714802905,3.73042553558613,3.12218050392321,3.50324421333332,2.90815309989472,3.91929749626818,3.29686662224828,3.69377815441954
