"","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21"
"LUM",2.696218,2.589845,1.794327,1.755367,2.689006,3.161661,1.929286,1.60172
"LUZP1",4.926483,4.972096,5.179674,5.542931,5.135628,5.294994,5.158983,5.059308
"LXN",6.948315,6.426752,6.208359,6.515901,6.02547,6.446974,7.113658,6.763981
"LY6E",6.2664,6.355505,7.661784,7.405202,7.317926,7.052247,7.325737,7.267988
"LY6G5B",4.120507,4.997126,4.355481,4.581675,4.679634,4.464594,4.067099,3.80484
"LY6G5C",2.283327,1.781881,1.60172,2.467726,2.094098,1.862527,1.929286,2.35009
"LY6K",2.35009,1.940114,2.870051,3.22511,2.941633,3.229983,3.703481,2.864354
"LYAR",5.457724,5.428171,5.949896,6.384013,5.099805,5.590917,6.636175,6.722425
"LYG1",2.533553,2.727015,2.204681,2.103765,2.014056,2.812263,2.936276,2.946847
"LYN",5.35301,5.489439,5.336676,5.30766,5.099805,5.21242,5.87912,5.667041
"LYPD1",3.090202,2.989329,3.487607,3.618422,3.465182,3.725432,3.461304,3.980426
"LYPLA1",7.419452,7.384876,7.012245,6.908517,7.18415,7.190722,7.049643,7.211432
"LYPLA2",5.709628,5.515113,5.032979,5.21242,5.029128,5.030391,5.090093,4.5971
"LYPLAL1",5.750282,5.78829,5.301308,5.533965,5.497747,5.870664,5.934385,5.812119
"LYRM1",3.921244,3.913395,3.11204,3.563069,3.940383,4.007808,3.845704,4.069511
"LYRM2",5.635746,5.489439,5.59865,5.360088,5.376651,5.862463,6.034969,5.715162
"LYRM4",5.76826,5.658891,5.383106,5.812119,5.603753,5.726972,6.074777,6.021646
"LYRM5",2.283327,2.35009,2.074253,2.746592,2.583145,1.862527,2.720456,2.474965
"LYRM7",2.283327,2.169916,1.60172,2.533553,2.406344,1.862527,2.474965,2.014056
"LYSMD1",3.778009,3.62,4.534261,4.091575,3.819532,4.127663,3.580751,4.069511
"LYSMD2",3.875384,4.322672,4.62348,4.071961,4.351355,4.260301,4.773543,5.024006
"LYSMD3",3.993392,3.862998,3.580751,2.746592,3.545656,3.264204,3.20744,3.352423
"LYST",3.753593,3.264204,3.025663,3.22511,3.606602,3.624881,3.388456,2.864354
"LZIC",5.336676,5.293406,5.046788,5.189936,4.972096,5.150835,5.386109,5.288659
"LZTFL1",4.5971,4.859579,4.355481,4.416834,4.464594,4.771323,4.870968,4.490623
